zona,secao,melhor_urbano,melhor_rural,tse_recente,tse_distribuido,escolas_inep,escolas_municipais,ibge_cnefe_endereco,ibge_cnefe_local,google,google_relaxado,google_centro_geometrico,ibge_povoados,ano
152,29,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , ,POINT(-43.347193 -21.7654826), , , , , , , ,2020
152,293,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), , ,POINT(-43.3514467 -21.7681983), , , ,POINT(-43.350413 -21.768268), , , ,2020
152,294,POINT(-43.355953 -21.768228),POINT(-43.355953 -21.768228), , , , , , ,POINT(-43.355953 -21.768228), , , ,2020
152,298,POINT(-43.3622454 -21.7778547),POINT(-43.3622454 -21.7778547), , , , , , ,POINT(-43.3622454 -21.7778547), , , ,2020
152,3,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), , , , , , ,POINT(-43.350982 -21.7635925), , , ,2020
152,30,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , ,POINT(-43.347193 -21.7654826), , , , , , , ,2020
152,301,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , ,POINT(-43.3544952 -21.7747755), , , , , , , ,2020
152,31,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , ,POINT(-43.347193 -21.7654826), , , , , , , ,2020
152,32,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), , , , , , ,POINT(-43.350982 -21.7635925), , , ,2020
152,321,POINT(-43.3525 -21.76505),POINT(-43.3525 -21.76505), , ,POINT(-43.3525 -21.76505), , , , , , , ,2020
152,322,POINT(-43.355953 -21.768228),POINT(-43.355953 -21.768228), , , , , , ,POINT(-43.355953 -21.768228), , , ,2020
152,326,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), , ,POINT(-43.3514467 -21.7681983), , , ,POINT(-43.350413 -21.768268), , , ,2020
152,328,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , ,POINT(-43.347193 -21.7654826), , , , , , , ,2020
152,33,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), , , , , , ,POINT(-43.350982 -21.7635925), , , ,2020
152,335,POINT(-43.3622454 -21.7778547),POINT(-43.3622454 -21.7778547), , , , , , ,POINT(-43.3622454 -21.7778547), , , ,2020
152,34,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), , , , , , ,POINT(-43.350982 -21.7635925), , , ,2020
152,348,POINT(-43.3622454 -21.7778547),POINT(-43.3622454 -21.7778547), , , , , , ,POINT(-43.3622454 -21.7778547), , , ,2020
152,35,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), , , , , , ,POINT(-43.350982 -21.7635925), , , ,2020
152,351,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , ,POINT(-43.347193 -21.7654826), , , , , , , ,2020
152,353,POINT(-43.3509812 -21.7719805),POINT(-43.3509812 -21.7719805), , , , , , ,POINT(-43.3509812 -21.7719805), , , ,2020
152,355,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), , ,POINT(-43.3514467 -21.7681983), , , ,POINT(-43.350413 -21.768268), , , ,2020
152,356,POINT(-43.3895335 -21.7899894),POINT(-43.3895335 -21.7899894), , ,POINT(-43.3895335 -21.7899894), , , , , , , ,2020
152,36,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), , , , , , ,POINT(-43.350982 -21.7635925), , , ,2020
152,368,POINT(-43.355953 -21.768228),POINT(-43.355953 -21.768228), , , , , , ,POINT(-43.355953 -21.768228), , , ,2020
152,37, , , , , , , , , , , , ,2020
152,370,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), , ,POINT(-43.3514467 -21.7681983), , , ,POINT(-43.350413 -21.768268), , , ,2020
152,381,POINT(-43.3509812 -21.7719805),POINT(-43.3509812 -21.7719805), , , , , , ,POINT(-43.3509812 -21.7719805), , , ,2020
