zona,secao,melhor_urbano,melhor_rural,tse_distribuido,google
152,1,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , 
152,11,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , 
152,12,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , 
152,121,POINT(-43.3509812 -21.7719805),POINT(-43.3509812 -21.7719805), ,POINT(-43.3509812 -21.7719805)
152,122,POINT(-43.3509812 -21.7719805),POINT(-43.3509812 -21.7719805), ,POINT(-43.3509812 -21.7719805)
152,123,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,124,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,125,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,126,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,127,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,128,POINT(-43.3535988 -21.7744565),POINT(-43.3535988 -21.7744565), ,POINT(-43.3535988 -21.7744565)
152,129,POINT(-43.3535988 -21.7744565),POINT(-43.3535988 -21.7744565), ,POINT(-43.3535988 -21.7744565)
152,13,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , 
152,130,POINT(-43.3535988 -21.7744565),POINT(-43.3535988 -21.7744565), ,POINT(-43.3535988 -21.7744565)
152,131,POINT(-43.3535988 -21.7744565),POINT(-43.3535988 -21.7744565), ,POINT(-43.3535988 -21.7744565)
152,132,POINT(-43.3535988 -21.7744565),POINT(-43.3535988 -21.7744565), ,POINT(-43.3535988 -21.7744565)
152,133,POINT(-43.3509812 -21.7719805),POINT(-43.3509812 -21.7719805), ,POINT(-43.3509812 -21.7719805)
152,134,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,135,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,136,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,137,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
152,138,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
152,139,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
152,140,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
152,141,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
152,142,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,143,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,144,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,145,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,146,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
